2015,One-Eighty 6.,One-Eighty 6.,One-Sixty 7.,One-Sixty 7.,One-Sixty 7.,One-Forty 7.,One-Forty 7.,One-Forty 7.,One-Forty 7.,One-Twenty 7.,One-Twenty 7.,One-Twenty 7.,One-Twenty 7.,One-Twenty 7.,One-Twenty 7.,Ninety-Nine 9.,Ninety-Nine 9.,Ninety-Nine 9.,Ninety-Nine 9.,Ninety-Nine 9.,Ninety-Nine 9.,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Nine,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Big.Seven,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Matts 6.,Hardy 6.,Hardy 6.,Hardy 6.,Hardy 6.,Hardy 6.,Juliet 7.,Juliet 7.,Juliet 7.,Juliet 7.,Juliet 7.,Juliet 7.,Juliet 7.,Juliet 6.,Juliet 6.,Juliet 6.,Juliet 6.,Juliet 6.,Juliet 6.,Juliet 6.,Juliet 6.,Juliet 6.,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Crossway,Speeder,Speeder,Speeder,Speeder,Speeder,Speeder,Speeder,Speeder,Speeder,Speeder,Speeder,Cyclo Cross ,Cyclo Cross ,Cyclo Cross ,Reacto ,Reacto ,Reacto ,Reacto,Reacto,Reacto,Reacto,Reacto,Reacto,Scultura,Scultura,Scultura,Scultura,Scultura,Scultura,Scultura,Scultura,Scultura,Scultura,Scultura,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride,Ride Disc,Ride Disc,Ride Disc,Warp TT,Warp TT,Warp TRI,Warp TRI,Warp TRI,Warp TRI,Warp TRI,Matts,Matts,Matts,Matts,Matts,Matts,Matts,Matts,Matts
Models,900,500,900,700,600,900,700,600,500,900,800,XT-edition,600,600-Juliet,500,Team,7000,XT,6000,800,600,Team,7000,6000,XT,1000,900,800,XT-edition,Team Issue,600,500,300,100,70,40,40-MD,20-D,20-MD,Team,7000,6000,XT,1000,900,800,XT-edition,XT-edition-Juliet,Team Issue,600,600-Juliet,500,300,100,70,40,40-MD,20-D,20-MD,500,100,40-D,40-MD,40-V,20-D,20-MD,20-V,15-MD,15-V,10-V,Team,300,100,70,40,XT-edition,Team Issue,500,300,100,40-D,40-MD,40-D,40-MD,40-V,20-D,20-MD,20-V,15-MD,15-V,10-V,900,900-lady,XT-edition,XT-edition-lady,600,600-lady,500,500-lady,300,300-lady,100,100-lady,40-D,40-D-lady,40-MD,40-MD-lady,40-V,40-V-lady,20-D,20-D-lady,20-MD,20-MD-lady,20-V,20-V-lady,15-MD,15-MD-lady,15-V,15-V-lady,10-V,10-V-lady,5000,3000,500,300-D,300,300-Juliet,200-D,200,100-MD,100,100-Juliet,700,500,300,Team-E-LTD,Team-E,DA LTD,7000,5000,4000,500,400,300,9000,7000-E,6000,5000,4000,4000-juliet,500,400,300,200,100,Team-E,7000,5000,4000,3000,500,400,400-Juliet,300-30,300,300-Juliet,200,100-24,100-24-Juliet,100,100-Juliet,7000,5000,3000,Team-E,Team-E [frame kit],7000-E,7000-E [frame kit],5000,5000 [frame kit],3000,J24 team,J24 sus,J24 champion,J24,J24 race,J20,J20 race,J16,J12
Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,One Eighty-D-Single VPP A-link R14,One Eighty-D-Single VPP A-link R14,One-Sixty-D-Single BSC VPP A-Link R12,One-Sixty-D-Single BSC VPP A-Link R12,One-Sixty-D-Single BSC VPP A-Link R12,One-Forty 7-D-Single BSC VPP A-Link R12,One-Forty 7-D-Single BSC VPP A-Link R12,One-Forty 7-D-Single BSC VPP A-Link R12,One-Forty 7-D-Single BSC VPP A-Link R12,One-Twenty Pro 7-D-Single BC A-Link,One-Twenty Pro 7-D-Single BC A-Link,One-Twenty Comp 7-D EG A-Link,One-Twenty Comp 7-D EG A-Link,One-Twenty Comp 7-D EG A-Link,One-Twenty Comp 7-D EG A-Link,Ninety-Nine CF4,Ninety-Nine CF4,Ninety-Nine CF2 / alloy rear,Ninety-Nine CF2 / alloy rear,Ninety-Nine 9 Lite-single R12,Ninety-Nine 9 Lite-single R12,Big 9 CF5 team ,Big 9 CF2,Big 9 CF2,Big 9 CF2,Big 9 CF2,Big 9 Lite -single R12,Big 9 Lite -single R12,Big 9 TFS-single,Big 9 TFS-single,Big 9 TFS-single,Big 9 TFS,Big 9 TFS,Big 9 TFS,Big 9 Speed,Big 9 Speed,Big 9 Speed,Big 9 Speed,Big 9 Speed,Big 7 CF5 team,Big 7 CF2,Big 7 CF2,Big 7 CF2,Big 7 CF2,Big 7 Lite-single R12,Big 7 Lite-single R12,Big 7 TFS-single,Big 7 TFS-single,Big 7 TFS-single,Big 7 TFS-single,Big 7 TFS-single,Big 7 TFS,Big 7 TFS,Big 7 TFS,Big 7 Speed,Big 7 Speed,Big 7 Speed,Big 7 Speed,Big 7 Speed,Matts TFS,Matts TFS,Matts Speed,Matts Speed,Matts Speed-V,Matts Speed,Matts Speed,Matts Speed V,Matts D,Matts V,Matts V,Hardy Pro BC-D,Hardy Pro BC-D,Hardy Comp EG-D,Hardy Comp EG-D,Hardy Comp EG-D,Juliet Pro 7-Single,Juliet Pro 7-Single,Juliet Comp 7-Single,Juliet Comp 7-Single,Juliet Comp 7-Single,Juliet Speed 7,Juliet Speed 7,Juliet Speed 6,Juliet Speed 6,Juliet Speed 6 V,Juliet Speed 6,Juliet Speed 6,Juliet Speed 6 V,Juliet Speed 6,Juliet Speed 6 V,Juliet Speed 6 V,Crossway TFS-D-Single,Crossway TFS-D-Single-lady,Crossway TFS-D-Single,Crossway TFS-D-Single-lady,Crossway TFS-D-Single,Crossway TFS-D-Single-lady,Crossway TFS-D-Single,Crossway TFS-D-Single-lady,Crossway TFS-D,Crossway TFS-D lady,Crossway TFS-D,Crossway TFS-D lady,new Crossway Speed-D,new Crossway Speed-D-lady,new Crossway Speed-D,new Crossway Speed-D-lady,new Crossway Speed-V,new Crossway Speed-V-lady,new Crossway Speed-D,new Crossway Speed-D-lady,new Crossway Speed-D,new Crossway Speed-D-lady,new Crossway Speed-V,new Crossway Speed-V-lady,Crossway DT-D,Crossway DT-D,Crossway DT-V,Crossway DT-V,Crossway DT-V,Crossway DT-V,Ride disc CF2,Ride disc CF2,Speeder ride BC-D-Single,Speeder ride BC-D-Single,Speeder ride BC-V-Single,Speeder ride BC-V-Single,Speeder ride BC-D-Single,Speeder ride BC-V-Single,Speeder ride BC-D-Single,Speeder ride BC-V-Single,Speeder ride BC-V-Single,CC Lite BC-D-Single,CC Lite BC-D-Single,CC Lite BC-D-Single,Reacto CF4,Reacto CF4,Reacto CF3,Reacto CF3,Reacto CF3,Reacto CF3,Reacto Aero ,Reacto Aero ,Reacto Aero ,Scultura CF5,Scultura CF2,Scultura CF2,Scultura CF2,Scultura CF2,Scultura CF2,Scultura lite,Scultura lite,Scultura lite,Scultura lite,Scultura lite,Ride CF5,Ride CF3,Ride CF3,Ride CF2,Ride CF2,Ride Lite-Single,Ride Lite-Single,Ride Lite-Single,Ride Lite-Single,Ride Lite-Single,Ride Lite-Single,Ride Lite-single,Ride Lite-single,Ride Lite-single,Ride Lite-single,Ride Lite-single,Ride disc CF2,Ride disc CF2,Ride disc CF2,Warp TT CF4,Warp TT CF4,Warp Tri CF2,Warp Tri CF2,Warp Tri CF2,Warp Tri CF2,Warp Tri CF2,M24 lite disc,M24 sus,M24 Alloy,M24 Alloy,M24 Alloy,M20-alloy,M20-alloy,M16-alloy-C,M12-alloy-C
Size,S-M-L,S-M-L,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,S-M-L-XL,lady S-M-L,S-M-L-XL,S-M-L-XL-XXL,S-M-L-XL-XXL,S-M-L-XL-XXL,S-M-L-XL-XXL,S-M-L-XL-XXL,S-M-L-XL-XXL,"15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-19-21-23""","15-17-18.5-20-21.5""","15-17-18.5-20-21.5""","15-17-18.5-20-21.5""","15-17-18.5-20-21.5""","15-17-18.5-20-21.5""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""",lady 13.5-15-17-18.5,"13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""",lady 13.5-15-17-18.5,"13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","13.5-15-17-18.5-20-21.5-23""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""","[14.5]-16-18-20-22-[24]""",S,S,S/M/L,S/M/L,S/M/L,"13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""","13.5-15-17-18.5-20""",[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,[41-44]-46-48-52-55-58-[61],[42L]-46L-50L-[54L]-[57L] ,XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59],XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59],47-50-52-54-56-[59],47-50-52-54-56-[59],47-50-52-54-56-[59],lady 47-50-52-54-[56],47-50-52-54-56-[59],47-50-52-54-56-[59],47-50-52-54-56-[59],47-50-52-54-56-[59],lady 47-50-52-54-[56],XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59],XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59],XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59],XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XXS(44)-XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XXS(44)-XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XXS(44)-XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XXS(44)-XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XXS(44)-XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,lady XXS(44)-XS(47)-S(50)-SM(52)-ML(54),XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59] cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59)-XXL(62) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59)-XXL(62) cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,lady XXS[44]-XS[47]-S[50]-SM[52]-ML[54],XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,lady XXS[44]-XS[47]-S[50]-SM[52]-ML[54],XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,lady XXS[44]-XS[47]-S[50]-SM[52]-ML[54],XXS[44]-XS[47]-S[50]-SM[52]-ML[54]-L[56]-XL[59]-XXL[62] cm,lady XXS[44]-XS[47]-S[50]-SM[52]-ML[54],XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,XS(47)-S(50)-SM(52)-ML(54)-L(56)-XL(59) cm,S(51)-M(54)-L(57) cm,S(51)-M(54)-L(57) cm,S(51)-M(54)-L(57) cm,S(51)-M(54)-L(57) cm,S(51)-M(54)-L(57) cm,S(51)-M(54)-L(57) cm,S(51)-M(54)-L(57) cm,"13""","13""","11""","11""[Boy]-11""[Girl]","11""[Boy]-11""[Girl]","10""[Boy]-10""[Girl]","10""[Boy]-10""[Girl]","9""","7"""
Color,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1] mat black [2] white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rui Costa Sinature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.SILK BLACK(GREY/GREEN) 2.WHITE(BLACK/RED),0,1.SILK BLACK(GREY/GREEN) 2.WHITE(BLACK/RED),0,0,0,1.BLACK(GREEN) 2.WHITE(PINK)
Tube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lite F.V,0,0,0,0
BB-CL,1*10,1*8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single speed,Single speed,2*9,3*8,3*7 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop-Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shock,RS Vivid Air,RS KAGE RC LM,Rock Shox Monarch RC3 plus ,Rock Shox Monarch RC3 plus ,Rock Shox Monarch R plus,Fox Float CTD BV LV - Performance,Fox Float CTD BV LV - Performance,Fox Float CTD LV (No BV) - Evolution,Fox Float CTD LV (No BV) - Evolution,Fox Flat CTD remote-factory,Fox Flat CTD remote-factory,Fox Float CTD SV (No BV) - Evolution,Rock Shox Monarch R,Rock Shox Monarch R,SR Suntour Epicon Lorp,Rock Shox Monarch XX X-lock MMX right,Fox Float CTD Remote BV SV - Factory,Fox Float CTD Remote BV SV - Factory,Rock Shox Monarch R-C2,Fox Float CTD SV (no BV) - Performance,Rock Shox Monarch R-C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring,0,0,0,0,0,0,0
Fork,Manitou Mattoc 15mm 170 taper,Mazocchi 888CR 180 20mm ,Rock Shox PIKE RCT3 27 15 2P 160 taper,Marzocchi 350CR 27 15 160 taper,SR Auron LO-RC 15QLC2 27.5 160 CTS,Rock Shox PIKE RCT3 27 15 2P 150 taper,"Fox 32 Float 650B CTD O/C (1.5T, 15QR)- Evolution 150","Fox 32 Float 650B CTD O/C (1.5T, 15QR)- Evolution 150",Rock Shox Sector TK27SA-15mm 140 taper,"Fox 32 Float 650B CTD O/C remote-ready (1.5T, 15QR)- factory 130","Fox 32 Float 650B CTD O/C remote-ready (1.5T, 15QR)- Evolution 130",Fox 32 Float 650B CTD O/C remote ready- Evolution 120,Rock Shox 30Gold TK27 120 poploc,Rock Shox 30Gold TK27 120 poploc,SR Epixon XC RL-R 27.5 120 remote,Rock Shox SID XX-29 SA 15mm 100 Xlock taper,"Fox 32 Float 29 CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 120","Fox 32 Float 29 CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 120",Rock Recon Gold  TK29 air 120 taper pushloc,Fox 32 Float 29 CTD Remote-Ready O/C **(1.5T)- Evolution 120,Rock Shox 30Gold TK29 120 taper poploc ,Rock Shox SID XX-29 SA 15mm 100 Xlock taper,"Fox 32 Float 29 CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 100",Rock Shox SID RL29 SA 100 taper pushloc,Fox 32 Float 29 CTD remote ready O/C (1.5T)- Evolution 100,Rock Shox 30Gold 29 100 taper poploc,"Fox 32 Float 29 CTD remote ready O/C (1.5T, 15QR)- Evolution 100 taper",Fox 32 Float 29 CTD remote ready O/C (1.5T)- Evolution 100 taper,Rock Shox 30Gold TK29 100 poploc,Rock Shox 30Gold TK29 100 poploc,Rock Shox 30Gold TK29 100 poploc,Rock Shox XC30TK29 SA 100,SR 29 XCR air LO 100,SR 29 XCM HLO 100,SR 29 XCM HLO 100,SR 29 XCM HLO 100,SR 29 XCM HLO 100,SR 29 XCM HLO 100,SR 29 XCM HLO 100,Rock Shox SID XX-27 SA 15mm 100 Xlock taper,"Fox 32 Float 650B CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 100",Rock Shox SID RL27 SA 100 taper pushloc,Fox 32 Float 650B CTD remote ready O/C (1.5T)- Evolution 100,Rock Shox 30Gold TK27 100 taper poploc,"Fox 32 Float 650B CTD remote ready O/C (1.5T, 15QR)- Evolution 100 taper",Fox 32 Float 650B CTD remote ready O/C (1.5T)- Evolution 100 taper,Rock Shox 30Gold TK27 100 poploc,Rock Shox 30Gold TK27 100 poploc,Rock Shox 30Gold TK27 100 poploc,Rock Shox 30Gold TK27 100 poploc,Rock Shox 30Gold TK27 100 poploc,Rock Shox XC30TK27 SA 100,SR 27 XCR air LO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 26 XCM HLO 100,SR 26 XCM HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT 100,SR 26 XCT 100,SR 26 XCT 100,Manitou Circus Expert 100 taper,Marzocchi DJ3 20 100,SR XCM 100,SR XCM 100,SR XCM 100,Rock Shox 30Gold TK27 100 poploc,Rock Shox 30Gold TK27 100 poploc,Rock Shox XC30TK27 SA 100 ,SR 27 XCR air LO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 27 XCM HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT-HLO 100,SR 26 XCT 100,SR 26 XCT 100,SR 26 XCT 100,Rock Shox Paragon SA 65 poplock,Rock Shox Paragon SA 65 poplock,SR NCX lite E-RL air 63,SR NCX lite E-RL air 63,SR NCX lite D-RL 63,SR NCX lite D-RL 63,SR NCX lite D-RL 63,SR NCX lite D-RL 63,SR NCX-D LO 63,SR NCX-D LO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX HLO 63,SR NEX 63,SR NEX 63,SR NEX 63,SR NEX 63,SR NEX 63,SR NEX 63,Race carbon disc 15,Race carbon disc 15,Speeder BC crabon straight,Speeder BC straight disc,Speeder BC straight V,Speeder BC straight V,Speeder BC straight disc,Speeder BC straight V,Speeder BC straight disc,Speeder BC straight V,Speeder BC straight V,CC Carbon disc 15,CC Carbon disc 15,CC BC straight disc,Reacto Carbon superlite-direct,Reacto Carbon superlite-direct,Reacto Carbon pro-direct,Reacto Carbon pro-direct,Reacto Carbon pro-direct,Reacto Carbon pro-direct,Reacto Carbon Race,Reacto Carbon Race,Reacto Carbon Race,Scultura carbon superlite,Road carbon Race,Road carbon Race,Road carbon Race,Road carbon Race,Road carbon Race,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Ride Carbon Superlite flex,Road carbon Race-Sport flex,Road carbon Race-Sport flex,Road carbon Race,Road carbon Race,Road carbon Race,Road carbon Race,Road carbon Race,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Road carbon comp,Race carbon disc 15,Race carbon disc 15,Race carbon disc 15,Warp TT lite-direct-E,Warp TT lite-direct-E,Warp Tri-direct-E,Warp Tri-direct-E,Warp Tri-direct-E,Warp Tri-direct-E,Warp Tri-direct-E,SR XCR LO air 63,SR XCT 50,"SR XCR 24"" 63",SR XCT 50,Rigid steel Fork,SR M3010,Rigid steel Fork,Rigid Steel Leading end,Rigid Steel Leading end
