2015,Models,Note,Frame,Size,Color,Tube,BB-CL,Drop-Out,Shock,Fork,BB Set,B-Lever,Brake-F,Brake-R,B-Cable,C-Housing,Chain,C-Guard,Chainwheel,DERA-F,DERA-R,Freewheel,Bar-End,Grip,H-Bar,H-B Stem,Head Set,Hub-F,Hub-R,Leadpipe,Pedal,Reflector,Reflector-bkt,Rim,Rim tape,Saddle,Seat Clamp,Seat Post,Shifter-F,Shifter-R,Spoke,Spoke Disk,Inner Tube,Tire-F,Tire-R,Hardware,Decal,C/S Protector,Carton,Manual,Packing,Bell
One-Eighty 6.,900,,One Eighty-D-Single VPP A-link R14,S-M-L,0,0,1*10,0,RS Vivid Air,Manitou Mattoc 15mm 170 taper,attached,attached,Shimano Zee 203 disc,Shimano Zee 180 disc,attached,MTK700 SP40,KMC X11 11s,MRP-AMG(32T-38T),FSA Afterburner 32T 11s,NO,Sram X1 11s,Sram X11s 11-42,0,Velo Double Density 145mm,Gravity light OS 760 R25,Gravity LIGHT L:45,Big Conoid A-bearing neck,DT Swiss 370 15 disc,DT Swiss 370-11s disc ,0,no,ATTACH,0,DT Swiss 533D-26,0,Velo VL-1318 ,MERIDA pro QR,Rock Shox Reverb Stealth 31.6,NO,SL TRIGGER X0 11SPD RR ,Black stainless,ATTACH,Ultralite,Schwalbe Hans Dampf 26 2.35 TSC,Schwalbe Rock Razor 26 2.35 PSC,attached,0,VLF-001,0,0,0%,YWS-Alloy
One-Eighty 6.,500,,One Eighty-D-Single VPP A-link R14,S-M-L,0,0,1*8,0,RS KAGE RC LM,Mazocchi 888CR 180 20mm ,attached,attached,Shimano M506 203 disc,Shimano M506 203 disc,attached,MTK700 SP40,KMC Z7 8s,MRP-G3(34T-38T),FSA Step Up ISIS 36T,No,RD X4 MEDIUM CAGE BLACK E-COAT,Sram PG820 11-32,0,Velo Double Density 145mm,Gravity light OS 760 R25,Gravity Light direct,Big Conoid semi neck [1-1/8],Bearing disc-20,Bearing disc-12,0,DH Comp ,ATTACH,0,DT Swiss 533D-26,0,Velo VL-1318 ,MERIDA pro QR,MERIDA pro H SB0 31.6,No,X3 Trigger shifter,Black stainless,ATTACH,Ultralite,Maxxis Minion DHR II 2.4,Maxxis Minion DHR II 2.4,attached,0,VLF-001,0,0,0%,YWS-Alloy
One-Sixty 7.,900,,One-Sixty-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Rock Shox Monarch RC3 plus ,Rock Shox PIKE RCT3 27 15 2P 160 taper,attached,attached,Shimano XT-Fin 203 disc,Shimano XT-Fin 180 disc,attached,MTK700 SP40,KMC X11 11s,no,FSA Afterburner 30T 11s,no,Sram XO1 11s,Sram X11s 11-42,0,Velo Vise 140,Gravity light OS 760 R25,Gravity LIGHT L:45,Big Conoid A-bearing neck,DT Swiss 370 15 disc,DT Swiss 370-11s disc ,0,no,0,0,DT Swiss 533D-27,0,Prologo Nago Evo X10 STN,MERIDA pro QR,Rock Shox Reverb Stealth 31.6,no,SL TRIGGER X0 11SPD RR ,Black stainless,0,Ultralite-27.5,Schwalbe Hans Dampf 27 2.35 TSC,Schwalbe Rock Razor 27 2.35 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
One-Sixty 7.,700,,One-Sixty-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Rock Shox Monarch RC3 plus ,Marzocchi 350CR 27 15 160 taper,attached,attached,Shimano SLX 203 disc,Shimano SLX 180 disc,attached,MTK700 SP40,KMC X11 11s,no,FSA Comet 30T,no,Sram X1 11s,Sram X11s 11-42,0,Velo Vise 140,Gravity light OS 760 R25,Gravity LIGHT L:45,Big Conoid S-bearing neck,Formula Disc 15,Formula DHT-11s disc,0,DH Comp ,0,0,DT Swiss 533D-27,0,Prologo Kappa 2,MERIDA pro QR,Rock Shox Reverb Stealth 31.6,no,SL TRIGGER X1 11SPD RR ,Black stainless,0,Ultralite-27.5,Schwalbe Hans Dampf 27 2.35 TSC,Schwalbe Rock Razor 27 2.35 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
One-Sixty 7.,600,,One-Sixty-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Rock Shox Monarch R plus,SR Auron LO-RC 15QLC2 27.5 160 CTS,attached,attached,Shimano M506 203 cen,Shimano M506 180 cen,attached,MTK700 SP40,KMC Z10-10s,MRP 2X (34-40),Shimano M615 38-24,Shimano Deore double,Shimano Deore Shadow+,Shimano CS-HG50-10 11-36,0,Velo Vise 140,MERIDA pro OS 740 R12,Gravity LIGHT L:45,Big Conoid semi neck,Formula Centerlock-15,Formula Centerlock-12,0,DH Comp ,0,0,DT Swiss 533D-27,0,Merida Sport 1,MERIDA pro QR,KS SuperNatural SB0 31.6,Shimano Deore-i,Shimano Deore-i,Black stainless,0,Ultralite-27.5,Schwalbe Hans Dampf 27 2.35 performance,Schwalbe Hans Dampf 27 2.35 performance,Stainless,0,0,0,0,95%,YWS-Alloy
One-Forty 7.,900,,One-Forty 7-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Fox Float CTD BV LV - Performance,Rock Shox PIKE RCT3 27 15 2P 150 taper,attached,attached,Shimano XT-Fin 180 disc,Shimano XT-Fin 180 disc,attached,MTK700 SP40,KMC X11 11s,NO,FSA Afterburner 30T 11s,no,Sram XO1 11s,Sram X11s 11-42,0,MERIDA Vise 135,Gravity light OS 760 R25,Gravity LIGHT L:45,Big Conoid A-bearing neck,DT Swiss 370 15 disc,DT Swiss 370-11s disc ,0,no,0,0,DT Swiss 533D-27,0,Prologo Nago Evo X10 STN,MERIDA pro QR,Rock Shox Reverb Stealth 31.6,no,SL TRIGGER X0 11SPD RR ,Black stainless,0,Ultralite-27.5,Schwalbe NOBBY NIC SnakeSkin 2.35 PSC,Schwalbe ROCK RAZOR SnakeSkin 2.35 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
One-Forty 7.,700,,One-Forty 7-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Fox Float CTD BV LV - Performance,"Fox 32 Float 650B CTD O/C (1.5T, 15QR)- Evolution 150",attached,attached,Shimano XT-Fin 180 cen,Shimano XT-Fin 180 cen,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano XT 38-24,Shimano XT HD double,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Vise 135,FSA V-Drive Riser 740 R15 ,MERIDA pro OS 5,Big Conoid S-bearing neck,Shimano XT 15 cen,Shimano XT 12 cen,0,DH Comp ,0,0,DT Swiss 533D-27,0,Prologo Kappa 2,MERIDA pro QR,Rock Shox Reverb Stealth 31.6,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-27.5,Schwalbe NOBBY NIC SnakeSkin 2.35 PSC,Schwalbe ROCK RAZOR SnakeSkin 2.35 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
One-Forty 7.,600,,One-Forty 7-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Fox Float CTD LV (No BV) - Evolution,"Fox 32 Float 650B CTD O/C (1.5T, 15QR)- Evolution 150",attached,attached,Shimano M615 180 cen,Shimano M615 180 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M612 40-30-22,Shimano SLX triple,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Vise 135,MERIDA pro OS 740 R12,MERIDA pro OS 5,Big Conoid semi neck,Formula Centerlock-15,Formula Centerlock-12,0,DH Comp ,0,0,DT Swiss 533D-27,0,Merida Sport 1,MERIDA pro QR,Rock Shox Reverb Stealth 31.6,Shimano Deore-i,Shimano Deore-i,Black stainless,0,Ultralite-27.5,Schwalbe NOBBY NIC SnakeSkin 2.35 PSC,Schwalbe ROCK RAZOR SnakeSkin 2.35 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
One-Forty 7.,500,,One-Forty 7-D-Single BSC VPP A-Link R12,S-M-L-XL,0,0,0,0,Fox Float CTD LV (No BV) - Evolution,Rock Shox Sector TK27SA-15mm 140 taper,Shimano octalink,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 180,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano M523 octa 40-30-22,Shimano Deore triple,Shimano Deore Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Vise 135,MERIDA pro OS 740 R12,MERIDA pro OS 5,Big Conoid semi neck,Bearing Centerlock-15,Bearing Centerlock-12,0,DH Comp ,0,0,DT Swiss 533D-27,0,Merida Sport 1,MERIDA pro QR,KS SuperNatural SB0 31.6,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-27.5,MERIDA  lite 27 2.25 KV,MERIDA  lite 27 2.25 KV,Stainless,0,0,0,0,95%,YWS-Alloy
One-Twenty 7.,900,,One-Twenty Pro 7-D-Single BC A-Link,S-M-L-XL,0,0,0,0,Fox Flat CTD remote-factory,"Fox 32 Float 650B CTD O/C remote-ready (1.5T, 15QR)- factory 130",attached,attached,Shimano XT-Fin 180 cen,Shimano XT-Fin 180 cen,attached,MTK700 SP40,KMC Z10-10s,NO,Shimano XT 38-24,Shimano XT double,Shimano XT Shadow+,Shimano CS-HG81-10 11-36,0,MERIDA Vise 135,FSA Afterburner Riser 730 R15 ,FSA Afterburner 6,Big Conoid A-bearing neck,Shimano XT 15,Shimano XT 12,0,no,0,0,DT Swiss 533D-27,0,Prologo Nago Evo X10 STN,MERIDA pro QR,Rock Shox Stealth Reverb 31.6,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-27.5,Schwalbe Nobi Nic 2.25 TSC,Schwalbe Nobi Nic 2.25 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
